ID,Battery Capacity (in mAH),Bluetooth,Clock Speed (in GHz),Dual Sim Support,Front Camera (in MP),4G Support,Internal Memory (in GB),Mobile Depth (in cm),Mobile Weight (in g),Number of cores,Primary Camera (in MP),RAM (in MB),Talk Time (in hrs),3G Support,Touch Screen,Wifi Support,Pixel Dots,Screen Area (in sq.cm),Price Range
627,1620,Yes,2.2,Yes,0,Yes,30,0.2,185,3,3,606,18,Yes,No,No,859456,0,Very Low
628,1227,Yes,1.1,Yes,0,No,34,0.2,130,3,3,1324,12,No,Yes,Yes,1665235,21,Low
629,1359,Yes,0.5,Yes,1,Yes,58,0.5,107,6,3,1076,4,Yes,Yes,Yes,401846,128,Very Low
630,1914,No,0.7,No,1,No,35,0.6,118,8,2,643,8,Yes,No,Yes,1602342,17,Low
631,1645,Yes,1.8,No,1,No,21,0.7,123,7,2,783,20,Yes,No,No,1173276,80,Very Low
632,1063,Yes,1.1,No,0,Yes,26,0.8,101,5,2,3809,5,Yes,No,Yes,1488256,272,High
633,946,No,2.1,No,0,Yes,19,0.2,154,8,0,2104,16,Yes,Yes,No,100170,28,Low
634,1231,No,1.2,Yes,5,No,54,0.8,185,3,10,1762,6,Yes,Yes,No,748288,15,Low
635,1397,No,2.9,Yes,13,No,9,0.5,87,6,18,3137,11,Yes,Yes,Yes,2604228,12,High
636,701,Yes,0.7,No,7,No,15,0.5,160,3,11,1756,17,Yes,Yes,Yes,1258512,18,Low
637,570,Yes,0.5,Yes,2,No,9,0.3,111,7,5,3663,14,No,No,No,2551527,140,High
638,1993,Yes,0.5,No,10,Yes,27,0.3,147,8,11,2437,9,Yes,No,No,76500,0,Average
639,955,No,0.5,Yes,4,No,43,0.9,143,5,8,1432,9,Yes,Yes,Yes,1885728,108,Low
640,924,No,0.5,Yes,0,Yes,47,0.3,167,8,6,1620,12,Yes,No,No,195804,255,Low
641,600,No,0.5,No,0,No,14,0.8,112,5,2,1655,9,No,No,No,239040,0,Very Low
642,518,No,0.8,Yes,0,No,3,0.1,178,7,1,2832,8,Yes,No,Yes,850839,0,Average
643,1063,Yes,2.5,No,0,Yes,31,0.9,95,6,10,961,5,Yes,Yes,No,275825,96,Very Low
644,920,Yes,0.5,No,2,No,46,0.8,149,3,3,2608,2,No,No,Yes,1503418,0,Average
645,1715,No,1.9,No,4,Yes,3,0.1,171,5,6,514,13,Yes,No,No,130508,28,Very Low
646,1841,Yes,1.3,Yes,6,No,14,0.6,167,8,8,2304,18,No,No,Yes,398496,7,Average
647,543,Yes,0.5,Yes,4,Yes,60,0.7,132,5,7,933,5,Yes,Yes,No,714483,0,Very Low
648,1762,Yes,2.7,Yes,13,Yes,25,0.9,189,1,14,1896,20,Yes,Yes,Yes,158100,140,Low
649,1112,Yes,0.5,Yes,1,No,53,0.6,121,4,16,3655,20,Yes,Yes,No,172926,21,High
650,709,Yes,2,Yes,0,No,35,0.1,136,1,0,1973,16,No,Yes,Yes,2465820,108,Low
651,1315,Yes,2.6,No,7,No,64,0.8,128,7,16,3278,13,No,No,No,33925,18,Average
652,1762,Yes,2.5,No,10,Yes,15,0.3,107,8,11,2183,11,Yes,Yes,No,1504492,24,Average
653,1462,Yes,1.7,Yes,1,No,25,0.2,182,7,18,824,13,Yes,No,Yes,134498,75,Very Low
654,571,No,1.6,Yes,8,No,35,0.2,186,7,20,2598,8,Yes,Yes,No,226914,65,Low
655,666,Yes,0.5,Yes,7,Yes,54,0.4,81,3,13,1254,9,Yes,Yes,Yes,78474,135,Very Low
656,1994,No,1.5,Yes,2,Yes,7,0.5,146,8,7,3622,20,Yes,No,Yes,641445,0,High
657,1583,Yes,2.1,Yes,11,No,14,0.7,148,7,16,1704,2,Yes,No,Yes,1555242,221,Average
658,1778,No,1.4,Yes,3,Yes,45,1,132,4,17,1624,9,Yes,Yes,No,45408,195,Low
659,1926,Yes,1.1,No,13,Yes,50,0.2,179,6,17,3809,17,Yes,Yes,No,371000,204,High
660,966,Yes,0.6,No,9,Yes,50,0.2,117,4,10,2574,5,Yes,No,Yes,2536284,10,Average
661,568,No,2,No,1,No,36,0.3,179,3,4,950,9,Yes,No,No,308243,153,Very Low
662,1897,No,3,No,1,Yes,21,0.5,192,8,2,273,3,Yes,Yes,Yes,2536785,102,Very Low
663,1695,No,0.5,Yes,6,Yes,46,0.7,200,3,9,446,15,Yes,Yes,Yes,3399318,208,Low
664,1623,Yes,1.2,No,6,Yes,61,0.9,120,7,12,1510,17,Yes,Yes,No,2872576,120,Average
665,914,Yes,0.5,No,0,Yes,26,0.7,147,4,0,1122,2,Yes,Yes,Yes,509026,108,Very Low
666,1721,Yes,0.5,Yes,4,Yes,33,0.5,128,4,5,707,5,Yes,Yes,Yes,912808,38,Very Low
667,890,Yes,2.2,Yes,4,No,44,0.5,198,8,13,751,3,No,No,No,2011602,21,Very Low
668,600,No,0.5,No,1,No,48,0.8,191,3,7,3393,8,Yes,No,No,733965,84,Average
669,1677,No,1.8,Yes,4,No,11,0.7,124,6,8,3771,12,Yes,No,No,400267,90,High
670,723,No,0.5,No,0,Yes,3,0.2,168,4,3,1851,16,Yes,No,No,1608160,45,Low
671,638,No,1.7,Yes,11,No,27,0.5,102,4,17,2735,9,Yes,Yes,No,1619493,14,Average
672,852,No,1,Yes,4,Yes,62,0.7,104,7,13,2253,7,Yes,Yes,No,339587,68,Low
673,1979,Yes,1.6,Yes,0,No,32,0.2,165,7,1,452,14,No,Yes,No,1357790,78,Very Low
674,710,Yes,0.5,No,6,No,32,0.8,151,5,9,1419,18,No,Yes,No,415645,132,Very Low
675,1034,No,2.6,Yes,2,Yes,45,0.3,190,3,4,969,7,Yes,No,No,235326,15,Very Low
676,600,No,2.5,Yes,8,Yes,22,0.1,145,1,11,3441,5,Yes,No,No,240534,19,Average
677,1027,No,0.5,No,2,Yes,64,0.9,103,2,7,3786,12,Yes,No,No,2966406,204,High
678,1260,No,0.6,No,5,Yes,13,1,106,6,6,2710,8,Yes,Yes,No,121440,13,Average
679,1793,No,1.8,Yes,10,No,12,0.5,169,6,17,3533,15,Yes,Yes,Yes,1539948,224,High
680,675,No,2.3,No,10,No,60,0.9,144,5,15,1735,13,Yes,No,Yes,145344,0,Very Low
681,658,Yes,2.7,No,0,Yes,12,0.9,103,7,3,3587,20,Yes,No,No,2023000,154,High
682,1694,Yes,0.6,No,0,Yes,34,0.3,102,7,7,2298,2,Yes,Yes,No,206973,85,Average
683,804,Yes,0.8,Yes,12,Yes,41,0.9,89,1,13,2027,11,Yes,No,No,579962,55,Low
684,1713,No,2.5,Yes,1,No,27,0.9,127,7,3,2406,20,Yes,No,Yes,710046,130,Average
685,706,No,0.5,No,13,Yes,31,0.1,108,3,19,2419,4,Yes,No,Yes,509334,56,Low
686,1362,No,0.5,No,3,No,25,0.8,131,7,9,995,18,No,Yes,Yes,832265,42,Very Low
687,1527,No,2.7,No,10,Yes,60,0.1,154,5,14,2078,11,Yes,Yes,Yes,587016,15,Average
688,768,No,0.5,Yes,0,No,19,0.9,159,2,1,1145,7,No,No,Yes,631267,19,Very Low
689,1314,No,2.9,Yes,8,Yes,41,0.1,155,4,12,626,4,Yes,Yes,Yes,65201,40,Very Low
690,705,Yes,0.5,No,5,Yes,57,0.9,155,6,9,1509,18,Yes,Yes,Yes,1530636,165,Low
691,1403,No,2.7,No,2,Yes,26,0.1,164,5,3,3371,9,Yes,No,Yes,576711,117,High
692,1486,No,2.6,No,7,No,52,0.1,85,4,15,297,15,No,Yes,No,2498210,13,Very Low
693,781,No,1.1,No,2,No,38,0.4,198,5,7,3508,5,No,No,Yes,508896,104,High
694,986,Yes,1.5,No,1,Yes,23,0.8,183,8,3,2385,19,Yes,No,No,376800,144,Low
695,1310,No,1.4,No,0,No,33,0.4,105,1,14,1301,19,No,No,Yes,818896,156,Low
696,560,Yes,2,Yes,6,Yes,57,0.3,81,3,12,2167,7,Yes,No,Yes,106160,110,Low
697,1348,No,1.3,No,0,No,43,0.4,116,5,6,3914,8,Yes,No,Yes,102204,30,High
698,1567,No,0.5,Yes,3,No,22,0.5,119,6,6,2312,18,Yes,No,No,883445,9,Average
699,1940,Yes,0.9,Yes,4,No,17,0.7,93,5,7,2297,8,No,Yes,No,96096,84,Average
700,1979,Yes,2.9,Yes,0,Yes,19,1,176,3,9,411,2,Yes,Yes,Yes,2039092,16,Very Low
701,561,Yes,2.1,Yes,7,Yes,2,0.1,193,3,13,665,4,Yes,Yes,No,1365170,0,Very Low
702,1717,Yes,1.3,No,1,No,62,0.7,130,1,3,3226,5,No,Yes,No,493290,24,High
703,535,No,1.5,No,1,Yes,48,0.7,113,1,4,740,18,Yes,Yes,No,235190,110,Very Low
704,1413,No,0.5,Yes,4,Yes,39,0.1,185,5,12,3878,4,Yes,No,No,1369402,304,High
705,1358,No,2.5,Yes,0,No,20,0.6,135,7,0,3406,11,No,No,Yes,2457675,5,High
706,1519,No,2.9,No,2,No,30,0.7,112,7,8,2440,10,Yes,Yes,Yes,1909644,45,Average
707,1254,No,1.2,Yes,2,No,50,0.7,108,5,6,3959,17,Yes,Yes,No,468006,40,High
708,1591,Yes,2.2,No,3,Yes,49,0.4,154,6,7,3703,20,Yes,Yes,No,2606072,102,High
709,977,Yes,2.8,Yes,2,No,35,0.6,165,2,15,3714,10,No,Yes,Yes,2796724,57,High
710,1640,Yes,0.7,No,10,Yes,21,0.8,169,7,14,337,5,Yes,Yes,No,766289,48,Very Low
711,663,No,0.8,Yes,0,No,25,0.6,183,2,1,3176,2,Yes,No,Yes,131610,12,Average
712,1744,Yes,1,No,1,Yes,20,0.5,112,8,3,1205,14,Yes,No,No,48824,126,Low
713,1624,No,1.6,Yes,8,No,28,0.4,150,2,10,2473,2,Yes,No,No,481611,176,Average
714,1108,Yes,1.3,Yes,14,Yes,2,0.3,169,7,20,1229,4,Yes,Yes,No,362336,15,Very Low
715,1188,Yes,1.4,Yes,0,Yes,9,0.6,114,2,0,2896,16,Yes,No,Yes,2086162,132,High
716,817,No,1.3,No,0,No,11,0.5,144,3,11,2039,19,No,Yes,No,553052,66,Low
717,863,No,1.6,Yes,5,Yes,6,0.7,133,4,13,520,18,Yes,No,Yes,1289883,20,Very Low
718,1397,No,2.4,Yes,5,Yes,3,0.2,121,3,15,1378,4,Yes,Yes,Yes,717914,270,Low
719,1108,No,1,No,3,No,49,0.7,140,5,12,3254,16,Yes,No,No,2162468,0,High
720,1068,No,2,Yes,1,Yes,37,0.9,184,7,13,1803,7,Yes,No,No,371628,20,Low
721,1702,Yes,2.3,No,12,Yes,52,0.5,145,2,15,2501,4,Yes,No,No,2082927,192,High
722,808,No,0.5,Yes,0,No,8,0.1,192,4,1,3762,12,Yes,No,Yes,1168638,135,High
723,1156,No,0.5,No,6,No,61,0.1,89,7,9,1796,13,No,Yes,Yes,1532068,96,Low
724,1271,No,0.5,Yes,2,No,54,0.1,159,8,3,990,6,No,Yes,Yes,398450,154,Very Low
725,696,No,0.5,No,6,No,51,0.3,197,3,8,2630,9,No,No,Yes,588643,144,Low
726,1981,Yes,1.9,Yes,13,No,45,0.3,175,6,18,1380,13,No,Yes,No,238162,10,Low
727,614,No,1.7,Yes,0,Yes,58,0.2,128,7,2,3487,11,Yes,Yes,Yes,11418,90,Average
728,1590,No,0.6,Yes,0,No,7,0.3,122,3,17,1201,18,Yes,Yes,Yes,2335080,36,Low
729,1945,No,1.6,No,4,No,21,0.7,113,3,10,3015,15,No,No,No,250600,6,High
730,1135,Yes,2.8,Yes,9,No,43,0.4,158,1,11,3204,6,Yes,No,No,1096410,234,High
731,1049,No,0.6,Yes,8,Yes,2,0.3,172,6,10,433,6,Yes,No,No,60996,70,Very Low
732,1807,Yes,2.1,No,2,No,49,0.8,125,1,10,1906,13,No,Yes,Yes,466408,221,Average
733,984,Yes,0.5,No,13,Yes,42,0.8,98,7,17,898,13,Yes,Yes,No,1668996,128,Very Low
734,720,Yes,1.4,Yes,0,Yes,61,0.6,96,7,8,2799,15,Yes,No,Yes,2334351,15,High
735,1536,No,0.8,No,12,No,13,0.3,105,7,20,2020,16,Yes,Yes,No,35948,0,Average
736,771,Yes,0.5,No,3,No,25,1,86,4,6,770,20,No,Yes,No,301494,12,Very Low
737,503,No,2.5,No,3,No,57,0.6,185,6,11,305,16,No,No,Yes,1004398,88,Very Low
738,675,No,2.4,No,1,No,42,0.6,187,7,2,2953,13,Yes,Yes,No,421268,45,Average
739,1936,Yes,1.9,Yes,13,Yes,34,0.2,182,7,14,1671,9,Yes,No,Yes,643599,6,Low
740,1303,No,1,Yes,0,Yes,15,0.1,138,3,10,2574,14,Yes,Yes,Yes,367316,48,Average
741,1004,Yes,2.9,Yes,0,No,35,0.2,141,6,9,3772,18,No,Yes,Yes,1046962,136,High
742,1972,No,1.2,Yes,0,No,37,0.7,102,2,1,2870,17,No,No,No,1178320,0,High
743,1822,No,1.2,No,0,No,8,0.2,195,6,0,2577,8,Yes,Yes,No,156520,45,Average
744,1159,Yes,2.8,No,5,Yes,18,0.5,83,1,7,2246,3,Yes,Yes,No,492363,8,Low
745,1782,Yes,2.8,Yes,6,Yes,58,0.8,157,1,13,2405,16,Yes,No,Yes,866133,0,Average
746,894,No,2.1,Yes,16,No,16,0.7,168,8,20,3377,6,Yes,Yes,Yes,371800,5,Average
747,1884,No,2.1,Yes,7,Yes,43,0.8,185,1,18,3619,7,Yes,Yes,Yes,369369,112,High
748,1648,Yes,0.5,No,1,Yes,17,0.9,142,2,3,1184,2,Yes,No,Yes,1385322,12,Low
749,798,No,2.4,No,5,No,4,0.2,96,3,9,2965,14,Yes,Yes,No,338218,105,Average
750,802,Yes,2.4,Yes,1,No,45,0.8,157,3,9,3713,8,No,No,No,2121267,24,High
751,1276,Yes,2.9,Yes,2,No,53,0.3,130,2,3,3798,8,Yes,Yes,Yes,159495,190,High
752,1331,Yes,1.6,No,0,No,16,0.5,165,2,7,1026,20,Yes,No,Yes,1359634,65,Low
753,1620,No,2.6,Yes,6,No,5,0.9,186,6,18,1086,13,Yes,No,No,581126,252,Low
754,1996,No,2.5,No,5,Yes,51,0.4,122,4,9,2236,12,Yes,No,Yes,969595,56,Average
755,1092,No,2.7,Yes,8,No,45,0.8,185,1,10,1303,20,No,Yes,Yes,1999296,36,Low
756,1018,Yes,0.7,Yes,7,No,63,0.1,155,5,18,3048,2,No,No,Yes,755848,30,Average
757,545,No,0.5,No,0,Yes,11,0.3,131,3,1,616,19,Yes,Yes,Yes,553212,90,Very Low
758,554,Yes,1.3,No,0,No,12,0.1,105,6,10,3764,4,No,Yes,Yes,68510,70,Average
759,1264,No,2.9,Yes,2,Yes,34,0.2,171,3,3,419,3,Yes,Yes,Yes,477138,28,Very Low
760,1030,No,1.6,Yes,3,Yes,58,0.2,138,6,20,2858,18,Yes,Yes,Yes,2013132,12,High
761,1432,Yes,1.7,Yes,6,Yes,39,0.3,164,4,18,504,10,Yes,Yes,No,197923,56,Very Low
762,558,Yes,2.8,No,1,Yes,49,0.8,142,5,4,392,8,Yes,Yes,Yes,1600185,50,Very Low
763,829,No,0.5,No,0,No,56,0.6,129,7,1,820,11,Yes,No,Yes,174356,72,Very Low
764,1741,Yes,1.8,No,0,No,14,0.7,143,8,0,3387,3,Yes,No,No,1383350,33,High
765,1849,Yes,2.3,No,7,Yes,15,0.4,144,5,19,3447,19,Yes,No,Yes,680538,154,High
766,733,No,2.1,No,5,Yes,7,0.2,174,7,10,1403,2,Yes,Yes,No,627005,120,Very Low
767,1872,Yes,0.9,Yes,0,No,16,0.5,80,2,2,2295,16,No,No,Yes,424424,165,Average
768,1853,No,0.5,Yes,1,No,27,0.3,197,6,13,1973,8,Yes,No,Yes,989925,20,Average
769,1149,Yes,2.2,No,4,No,30,0.2,106,6,5,3755,8,Yes,No,No,2708475,238,High
770,891,No,0.5,Yes,9,Yes,25,0.3,196,2,19,2073,10,Yes,No,Yes,646500,7,Low
771,1911,Yes,2,No,7,Yes,64,0.6,163,8,8,3872,11,Yes,Yes,No,3514610,72,High
772,550,Yes,0.5,No,16,Yes,23,0.1,145,2,17,302,8,Yes,No,No,937980,90,Very Low
773,576,No,0.8,No,0,Yes,27,0.1,121,2,4,1519,8,Yes,No,Yes,1149126,108,Low
774,1760,No,1.9,No,1,Yes,50,0.8,198,1,2,2549,4,Yes,Yes,No,465192,80,Average
775,969,No,2.4,No,0,No,45,0.3,124,7,0,404,19,Yes,No,Yes,289199,90,Very Low
776,1160,No,1.1,No,1,Yes,63,0.7,166,3,2,595,15,Yes,No,Yes,654558,72,Very Low
777,827,No,1.1,Yes,2,Yes,18,0.9,160,2,16,1663,17,Yes,Yes,Yes,367808,0,Very Low
778,1786,No,0.5,No,9,Yes,58,0.7,161,7,10,2764,7,Yes,Yes,Yes,386001,27,High
779,774,Yes,0.6,Yes,2,Yes,8,0.4,136,1,4,2614,14,Yes,Yes,Yes,3194745,0,Average
780,819,Yes,2.5,Yes,0,Yes,11,0.2,83,8,1,1094,15,Yes,No,No,360036,50,Very Low
781,1042,No,2.2,No,15,Yes,11,0.6,139,5,16,2826,2,Yes,No,No,69224,0,Average
782,1368,No,3,Yes,10,No,50,0.2,97,7,18,2496,5,No,Yes,Yes,578642,78,Average
783,1592,No,2.1,No,6,Yes,50,0.1,181,2,17,2103,7,Yes,No,No,266220,152,Low
784,1067,No,1.8,Yes,11,No,14,0.2,146,1,15,966,13,No,No,Yes,973685,0,Very Low
785,1892,Yes,0.7,No,5,No,47,0.4,110,4,10,2172,3,Yes,Yes,Yes,2188036,238,Average
786,915,No,1.1,No,6,No,56,0.6,187,8,17,905,12,No,Yes,No,770336,190,Very Low
787,774,Yes,2.8,No,7,Yes,55,0.9,124,3,18,3916,12,Yes,Yes,No,7168,8,High
788,1848,Yes,1.4,Yes,2,Yes,42,0.7,179,2,10,3902,3,Yes,No,Yes,93170,99,High
789,1501,No,1.1,No,12,Yes,2,0.2,187,1,15,2487,16,Yes,Yes,Yes,209088,156,Average
790,1614,No,1.9,No,8,Yes,55,0.3,188,3,17,3914,13,Yes,No,No,1143800,221,High
791,911,Yes,2.9,No,0,No,46,0.1,181,5,1,363,17,No,Yes,No,308870,45,Very Low
792,1520,No,0.5,No,1,Yes,24,0.7,199,5,8,3233,4,Yes,No,Yes,208081,39,High
793,1647,No,1.4,Yes,3,Yes,38,0.3,102,6,15,2532,15,Yes,No,Yes,228705,224,Average
794,1347,No,0.9,Yes,8,Yes,53,0.8,108,6,15,3836,14,Yes,No,Yes,968688,45,High
795,967,Yes,1.6,No,4,No,25,0.6,92,8,9,3076,18,No,Yes,Yes,399006,28,Average
796,1442,No,2.2,No,0,Yes,56,0.7,145,5,3,1513,7,Yes,Yes,No,2712168,88,Average
797,1204,Yes,2.6,No,0,No,10,0.3,199,7,3,1724,19,Yes,No,No,711360,22,Low
798,1320,No,2.1,Yes,0,Yes,41,0.6,144,7,2,542,14,Yes,Yes,No,151167,11,Very Low
799,1800,Yes,0.7,No,2,Yes,8,0.4,100,7,6,3481,8,Yes,No,Yes,329200,80,High
800,1567,No,2.1,Yes,3,No,22,0.8,153,3,19,3991,10,Yes,No,No,251940,30,High
801,1439,No,0.9,No,12,Yes,20,0.8,147,1,17,1790,15,Yes,No,Yes,583432,228,Low
802,1422,No,1,No,15,No,3,0.1,112,1,17,509,3,Yes,Yes,Yes,926,19,Very Low
803,1591,Yes,2.2,Yes,4,Yes,52,1,161,3,16,282,14,Yes,Yes,Yes,899268,90,Very Low
804,880,No,1.7,No,2,No,6,0.6,198,4,19,3006,3,Yes,No,No,417120,24,Average
805,1929,Yes,0.5,Yes,0,Yes,19,1,163,6,2,1913,6,Yes,Yes,No,366799,84,Low
806,1642,Yes,1.6,Yes,0,No,5,0.4,102,5,2,1333,2,No,No,Yes,3184854,0,Average
807,1511,No,2.5,Yes,3,No,21,0.2,114,3,18,3746,5,Yes,No,No,2883810,0,High
808,1312,No,1.3,No,5,Yes,10,0.6,163,2,9,3941,13,Yes,Yes,Yes,84835,12,High
809,1852,No,1.4,No,4,Yes,10,0.7,196,1,18,3970,11,Yes,No,Yes,674540,13,High
810,972,Yes,1.3,No,8,No,44,0.7,82,7,10,3925,7,No,Yes,No,174933,42,High
811,691,Yes,2.7,Yes,4,Yes,33,0.9,108,4,8,424,15,Yes,Yes,Yes,914862,15,Very Low
812,807,No,0.5,No,9,No,8,0.3,158,5,20,1284,2,No,Yes,Yes,464899,221,Very Low
813,1113,No,0.6,Yes,0,No,25,0.3,145,1,10,277,12,Yes,No,Yes,1373664,22,Very Low
814,721,Yes,1.3,Yes,10,No,16,0.9,125,1,18,1713,4,No,Yes,Yes,759696,30,Low
815,1188,Yes,1.5,Yes,0,No,54,0.3,198,6,2,485,7,No,Yes,No,1689350,84,Very Low
816,1512,Yes,0.5,No,1,No,52,0.1,131,1,14,3002,7,No,No,Yes,317016,30,Average
817,805,Yes,0.7,No,0,No,64,0.1,97,4,14,418,17,No,Yes,Yes,451264,66,Very Low
818,918,No,0.9,Yes,1,No,8,0.1,123,7,5,1652,14,Yes,Yes,No,438163,68,Low
819,1320,No,0.5,Yes,7,No,48,0.2,168,5,16,2893,9,No,No,Yes,163049,40,Average
820,1236,No,0.9,Yes,2,Yes,57,0.1,188,1,14,1406,20,Yes,No,Yes,418253,168,Very Low
821,1387,No,0.5,No,0,Yes,61,0.5,98,3,0,629,11,Yes,Yes,No,903535,15,Very Low
822,1883,Yes,2.7,Yes,6,Yes,30,0.5,95,2,10,3724,20,Yes,Yes,Yes,420021,240,High
823,839,No,2,Yes,0,No,14,0.4,175,7,3,3835,11,Yes,No,No,784524,120,High
824,1593,Yes,1,No,0,Yes,52,0.7,130,8,0,1354,13,Yes,Yes,Yes,1016696,195,Low
825,1722,Yes,1,No,7,No,25,0.8,88,6,19,2376,19,No,No,Yes,1931202,5,High
826,1954,No,0.6,Yes,8,No,7,0.9,126,3,9,3438,13,Yes,No,No,464370,204,High
827,1788,Yes,0.5,Yes,15,Yes,2,0.3,150,6,20,2655,4,Yes,No,Yes,506456,24,Average
828,1628,No,0.5,No,5,Yes,33,0.9,101,6,8,3361,13,Yes,No,No,264916,160,High
829,1965,No,0.5,No,6,Yes,4,1,84,7,9,3535,16,Yes,Yes,Yes,1621820,0,High
830,833,Yes,2.2,No,4,No,27,0.9,124,1,6,2150,7,No,Yes,Yes,500805,45,Low
831,571,No,0.6,No,1,Yes,43,0.5,141,3,8,2587,18,Yes,No,No,175392,35,Low
832,1808,Yes,0.5,Yes,1,No,31,0.5,92,2,16,2736,8,No,No,Yes,862512,9,High
833,1860,No,0.5,Yes,2,Yes,55,0.7,83,6,3,676,4,Yes,No,Yes,155805,0,Very Low
834,1368,Yes,1.6,Yes,4,No,9,0.1,115,7,7,2941,17,No,Yes,No,965235,156,High
835,1161,No,1.3,Yes,0,Yes,21,0.6,126,8,12,3336,14,Yes,No,Yes,360052,24,High
836,1224,Yes,1.6,No,9,No,33,1,157,1,18,3796,13,Yes,Yes,No,293886,50,High
837,902,Yes,0.6,Yes,0,No,63,0.7,122,5,14,3654,15,No,Yes,Yes,495040,144,High
838,787,Yes,0.5,No,15,No,11,0.6,93,1,16,2934,14,Yes,No,Yes,1146938,48,Average
839,854,No,0.5,No,2,No,30,0.5,125,8,5,2889,11,No,No,Yes,596736,10,Average
840,1184,No,1.5,Yes,1,Yes,48,0.6,191,1,6,3315,14,Yes,Yes,Yes,818463,119,High
841,1973,No,1.6,Yes,5,Yes,39,0.8,152,4,6,1993,5,Yes,No,No,935352,0,Average
842,510,No,1.7,Yes,3,No,35,0.8,120,3,6,2509,11,No,Yes,Yes,469096,34,Low
843,966,No,2,No,8,Yes,34,0.5,118,2,10,3534,11,Yes,Yes,Yes,325922,306,High
844,1438,Yes,1.8,No,3,No,16,0.6,169,8,7,2246,15,No,No,No,744753,154,Average
845,1986,No,0.5,No,7,No,51,0.4,95,3,9,3165,13,Yes,No,No,264708,0,High
846,1907,No,2,No,13,No,55,0.9,105,7,15,286,17,Yes,No,Yes,1078769,56,Very Low
847,1489,No,2.4,Yes,8,No,32,0.6,200,1,16,776,8,No,No,No,139664,42,Very Low
848,1843,Yes,1.8,Yes,13,Yes,16,0.7,134,6,18,3213,15,Yes,Yes,No,68440,210,High
849,825,Yes,1.5,No,11,No,38,0.4,94,3,18,716,14,No,Yes,No,422820,44,Very Low
850,1286,Yes,2.3,No,10,Yes,16,0.1,98,2,18,424,4,Yes,Yes,No,11916,50,Very Low
851,840,No,0.6,No,0,Yes,63,0.8,137,7,19,3486,18,Yes,Yes,No,1066947,96,High
852,757,No,2.3,Yes,5,Yes,58,0.2,163,4,7,3237,9,Yes,No,Yes,372895,228,Average
853,814,Yes,1.1,Yes,2,No,41,0.8,177,2,10,1944,12,Yes,No,No,1535352,96,Low
854,1195,Yes,1.1,Yes,2,Yes,8,0.9,80,6,6,643,19,Yes,No,No,327327,28,Very Low
855,767,No,0.8,No,7,Yes,10,0.5,107,4,12,2317,12,Yes,Yes,Yes,1031415,0,Average
856,1068,No,1.3,No,6,Yes,52,0.1,97,8,7,1436,15,Yes,No,No,1491000,16,Low
857,994,Yes,2.8,Yes,0,No,56,0.5,173,3,3,3190,20,Yes,Yes,Yes,260230,10,Average
858,1550,Yes,2.5,No,6,No,21,0.8,133,2,11,2338,15,No,Yes,No,222976,16,Average
859,1878,Yes,0.5,No,9,No,29,0.6,85,8,19,1334,2,No,No,No,215460,126,Low
860,623,No,2,No,2,No,6,0.1,127,3,4,3657,19,Yes,Yes,No,96768,51,Average
861,1829,Yes,0.5,No,0,Yes,15,0.4,160,5,7,2080,12,Yes,No,Yes,923643,176,Average
862,525,No,2.4,Yes,11,No,35,0.8,190,7,20,1609,3,No,No,No,54940,176,Very Low
863,1065,Yes,0.5,No,0,Yes,14,0.7,89,2,2,3078,18,Yes,No,Yes,174464,10,Average
864,1425,No,1.2,No,9,Yes,35,0.7,127,8,14,590,6,Yes,Yes,Yes,284550,26,Very Low
865,1296,No,1.4,Yes,3,No,11,0.2,129,7,4,2552,10,Yes,Yes,Yes,1688804,152,Average
866,642,No,2.8,No,3,No,34,0.8,197,2,15,3355,13,No,No,No,334641,60,Average
867,1664,Yes,2.9,Yes,9,Yes,15,0.5,177,7,19,1968,9,Yes,No,No,2272362,84,Average
868,1498,Yes,0.7,No,3,Yes,8,0.1,170,7,4,3358,19,Yes,No,No,373372,21,High
869,981,Yes,1.9,Yes,0,No,2,0.1,136,3,7,1539,19,No,No,No,51600,228,Very Low
870,1236,Yes,2.8,No,6,Yes,32,0.3,143,4,18,942,14,Yes,Yes,Yes,690276,192,Very Low
871,1673,No,2.8,Yes,7,No,9,0.1,187,3,10,3669,10,Yes,No,Yes,47710,9,High
872,712,Yes,1.6,No,6,Yes,9,0.8,172,2,14,3612,4,Yes,No,No,1087154,65,High
873,569,Yes,0.5,Yes,10,Yes,4,0.8,170,3,19,2351,10,Yes,Yes,No,406809,56,Low
874,603,Yes,0.7,Yes,0,Yes,64,0.2,156,6,0,604,8,Yes,Yes,Yes,3625056,40,Very Low
875,1332,No,0.8,Yes,2,No,11,0.5,187,2,4,1285,9,Yes,Yes,No,883070,0,Low
876,1413,No,0.6,No,0,Yes,13,0.1,128,1,0,515,18,Yes,Yes,No,1959363,0,Very Low
877,1064,No,2.9,Yes,1,Yes,34,0.2,184,6,13,654,6,Yes,No,No,1843575,208,Very Low
878,1444,No,0.6,No,2,No,48,0.5,82,5,17,2540,15,Yes,Yes,Yes,1696968,34,High
879,1366,Yes,1.7,Yes,5,Yes,53,0.2,161,5,9,3869,14,Yes,No,Yes,1213772,85,High
880,906,No,2.1,Yes,7,No,18,0.1,136,2,11,3412,16,Yes,No,No,1975886,104,High
