id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,px_area,sc_area,price_range
739,1936,1,1.9,1,13,1,34,0.2,182,7,14,1671,9,1,0,1,643599,6,2
740,1303,0,1,1,0,1,15,0.1,138,3,10,2574,14,1,1,1,367316,48,3
741,1004,1,2.9,1,0,0,35,0.2,141,6,9,3772,18,0,1,1,1046962,136,4
742,1972,0,1.2,1,0,0,37,0.7,102,2,1,2870,17,0,0,0,1178320,0,4
743,1822,0,1.2,0,0,0,8,0.2,195,6,0,2577,8,1,1,0,156520,45,3
744,1159,1,2.8,0,5,1,18,0.5,83,1,7,2246,3,1,1,0,492363,8,2
745,1782,1,2.8,1,6,1,58,0.8,157,1,13,2405,16,1,0,1,866133,0,3
746,894,0,2.1,1,16,0,16,0.7,168,8,20,3377,6,1,1,1,371800,5,3
747,1884,0,2.1,1,7,1,43,0.8,185,1,18,3619,7,1,1,1,369369,112,4
748,1648,1,0.5,0,1,1,17,0.9,142,2,3,1184,2,1,0,1,1385322,12,2
749,798,0,2.4,0,5,0,4,0.2,96,3,9,2965,14,1,1,0,338218,105,3
750,802,1,2.4,1,1,0,45,0.8,157,3,9,3713,8,0,0,0,2121267,24,4
751,1276,1,2.9,1,2,0,53,0.3,130,2,3,3798,8,1,1,1,159495,190,4
752,1331,1,1.6,0,0,0,16,0.5,165,2,7,1026,20,1,0,1,1359634,65,2
753,1620,0,2.6,1,6,0,5,0.9,186,6,18,1086,13,1,0,0,581126,252,2
754,1996,0,2.5,0,5,1,51,0.4,122,4,9,2236,12,1,0,1,969595,56,3
755,1092,0,2.7,1,8,0,45,0.8,185,1,10,1303,20,0,1,1,1999296,36,2
756,1018,1,0.7,1,7,0,63,0.1,155,5,18,3048,2,0,0,1,755848,30,3
757,545,0,0.5,0,0,1,11,0.3,131,3,1,616,19,1,1,1,553212,90,1
758,554,1,1.3,0,0,0,12,0.1,105,6,10,3764,4,0,1,1,68510,70,3
759,1264,0,2.9,1,2,1,34,0.2,171,3,3,419,3,1,1,1,477138,28,1
760,1030,0,1.6,1,3,1,58,0.2,138,6,20,2858,18,1,1,1,2013132,12,4
761,1432,1,1.7,1,6,1,39,0.3,164,4,18,504,10,1,1,0,197923,56,1
762,558,1,2.8,0,1,1,49,0.8,142,5,4,392,8,1,1,1,1600185,50,1
763,829,0,0.5,0,0,0,56,0.6,129,7,1,820,11,1,0,1,174356,72,1
764,1741,1,1.8,0,0,0,14,0.7,143,8,0,3387,3,1,0,0,1383350,33,4
765,1849,1,2.3,0,7,1,15,0.4,144,5,19,3447,19,1,0,1,680538,154,4
766,733,0,2.1,0,5,1,7,0.2,174,7,10,1403,2,1,1,0,627005,120,1
767,1872,1,0.9,1,0,0,16,0.5,80,2,2,2295,16,0,0,1,424424,165,3
768,1853,0,0.5,1,1,0,27,0.3,197,6,13,1973,8,1,0,1,989925,20,3
769,1149,1,2.2,0,4,0,30,0.2,106,6,5,3755,8,1,0,0,2708475,238,4
770,891,0,0.5,1,9,1,25,0.3,196,2,19,2073,10,1,0,1,646500,7,2
771,1911,1,2,0,7,1,64,0.6,163,8,8,3872,11,1,1,0,3514610,72,4
772,550,1,0.5,0,16,1,23,0.1,145,2,17,302,8,1,0,0,937980,90,1
773,576,0,0.8,0,0,1,27,0.1,121,2,4,1519,8,1,0,1,1149126,108,2
774,1760,0,1.9,0,1,1,50,0.8,198,1,2,2549,4,1,1,0,465192,80,3
775,969,0,2.4,0,0,0,45,0.3,124,7,0,404,19,1,0,1,289199,90,1
776,1160,0,1.1,0,1,1,63,0.7,166,3,2,595,15,1,0,1,654558,72,1
777,827,0,1.1,1,2,1,18,0.9,160,2,16,1663,17,1,1,1,367808,0,1
778,1786,0,0.5,0,9,1,58,0.7,161,7,10,2764,7,1,1,1,386001,27,4
779,774,1,0.6,1,2,1,8,0.4,136,1,4,2614,14,1,1,1,3194745,0,3
780,819,1,2.5,1,0,1,11,0.2,83,8,1,1094,15,1,0,0,360036,50,1
781,1042,0,2.2,0,15,1,11,0.6,139,5,16,2826,2,1,0,0,69224,0,3
782,1368,0,3,1,10,0,50,0.2,97,7,18,2496,5,0,1,1,578642,78,3
783,1592,0,2.1,0,6,1,50,0.1,181,2,17,2103,7,1,0,0,266220,152,2
784,1067,0,1.8,1,11,0,14,0.2,146,1,15,966,13,0,0,1,973685,0,1
785,1892,1,0.7,0,5,0,47,0.4,110,4,10,2172,3,1,1,1,2188036,238,3
786,915,0,1.1,0,6,0,56,0.6,187,8,17,905,12,0,1,0,770336,190,1
787,774,1,2.8,0,7,1,55,0.9,124,3,18,3916,12,1,1,0,7168,8,4
788,1848,1,1.4,1,2,1,42,0.7,179,2,10,3902,3,1,0,1,93170,99,4
789,1501,0,1.1,0,12,1,2,0.2,187,1,15,2487,16,1,1,1,209088,156,3
790,1614,0,1.9,0,8,1,55,0.3,188,3,17,3914,13,1,0,0,1143800,221,4
791,911,1,2.9,0,0,0,46,0.1,181,5,1,363,17,0,1,0,308870,45,1
792,1520,0,0.5,0,1,1,24,0.7,199,5,8,3233,4,1,0,1,208081,39,4
793,1647,0,1.4,1,3,1,38,0.3,102,6,15,2532,15,1,0,1,228705,224,3
794,1347,0,0.9,1,8,1,53,0.8,108,6,15,3836,14,1,0,1,968688,45,4
795,967,1,1.6,0,4,0,25,0.6,92,8,9,3076,18,0,1,1,399006,28,3
796,1442,0,2.2,0,0,1,56,0.7,145,5,3,1513,7,1,1,0,2712168,88,3
797,1204,1,2.6,0,0,0,10,0.3,199,7,3,1724,19,1,0,0,711360,22,2
798,1320,0,2.1,1,0,1,41,0.6,144,7,2,542,14,1,1,0,151167,11,1
799,1800,1,0.7,0,2,1,8,0.4,100,7,6,3481,8,1,0,1,329200,80,4
800,1567,0,2.1,1,3,0,22,0.8,153,3,19,3991,10,1,0,0,251940,30,4
801,1439,0,0.9,0,12,1,20,0.8,147,1,17,1790,15,1,0,1,583432,228,2
802,1422,0,1,0,15,0,3,0.1,112,1,17,509,3,1,1,1,926,19,1
803,1591,1,2.2,1,4,1,52,1,161,3,16,282,14,1,1,1,899268,90,1
804,880,0,1.7,0,2,0,6,0.6,198,4,19,3006,3,1,0,0,417120,24,3
805,1929,1,0.5,1,0,1,19,1,163,6,2,1913,6,1,1,0,366799,84,2
806,1642,1,1.6,1,0,0,5,0.4,102,5,2,1333,2,0,0,1,3184854,0,3
807,1511,0,2.5,1,3,0,21,0.2,114,3,18,3746,5,1,0,0,2883810,0,4
808,1312,0,1.3,0,5,1,10,0.6,163,2,9,3941,13,1,1,1,84835,12,4
809,1852,0,1.4,0,4,1,10,0.7,196,1,18,3970,11,1,0,1,674540,13,4
810,972,1,1.3,0,8,0,44,0.7,82,7,10,3925,7,0,1,0,174933,42,4
811,691,1,2.7,1,4,1,33,0.9,108,4,8,424,15,1,1,1,914862,15,1
812,807,0,0.5,0,9,0,8,0.3,158,5,20,1284,2,0,1,1,464899,221,1
813,1113,0,0.6,1,0,0,25,0.3,145,1,10,277,12,1,0,1,1373664,22,1
814,721,1,1.3,1,10,0,16,0.9,125,1,18,1713,4,0,1,1,759696,30,2
815,1188,1,1.5,1,0,0,54,0.3,198,6,2,485,7,0,1,0,1689350,84,1
816,1512,1,0.5,0,1,0,52,0.1,131,1,14,3002,7,0,0,1,317016,30,3
817,805,1,0.7,0,0,0,64,0.1,97,4,14,418,17,0,1,1,451264,66,1
818,918,0,0.9,1,1,0,8,0.1,123,7,5,1652,14,1,1,0,438163,68,2
819,1320,0,0.5,1,7,0,48,0.2,168,5,16,2893,9,0,0,1,163049,40,3
820,1236,0,0.9,1,2,1,57,0.1,188,1,14,1406,20,1,0,1,418253,168,1
821,1387,0,0.5,0,0,1,61,0.5,98,3,0,629,11,1,1,0,903535,15,1
822,1883,1,2.7,1,6,1,30,0.5,95,2,10,3724,20,1,1,1,420021,240,4
823,839,0,2,1,0,0,14,0.4,175,7,3,3835,11,1,0,0,784524,120,4
824,1593,1,1,0,0,1,52,0.7,130,8,0,1354,13,1,1,1,1016696,195,2
825,1722,1,1,0,7,0,25,0.8,88,6,19,2376,19,0,0,1,1931202,5,4
826,1954,0,0.6,1,8,0,7,0.9,126,3,9,3438,13,1,0,0,464370,204,4
827,1788,1,0.5,1,15,1,2,0.3,150,6,20,2655,4,1,0,1,506456,24,3
828,1628,0,0.5,0,5,1,33,0.9,101,6,8,3361,13,1,0,0,264916,160,4
829,1965,0,0.5,0,6,1,4,1,84,7,9,3535,16,1,1,1,1621820,0,4
830,833,1,2.2,0,4,0,27,0.9,124,1,6,2150,7,0,1,1,500805,45,2
831,571,0,0.6,0,1,1,43,0.5,141,3,8,2587,18,1,0,0,175392,35,2
832,1808,1,0.5,1,1,0,31,0.5,92,2,16,2736,8,0,0,1,862512,9,4
833,1860,0,0.5,1,2,1,55,0.7,83,6,3,676,4,1,0,1,155805,0,1
834,1368,1,1.6,1,4,0,9,0.1,115,7,7,2941,17,0,1,0,965235,156,4
835,1161,0,1.3,1,0,1,21,0.6,126,8,12,3336,14,1,0,1,360052,24,4
836,1224,1,1.6,0,9,0,33,1,157,1,18,3796,13,1,1,0,293886,50,4
837,902,1,0.6,1,0,0,63,0.7,122,5,14,3654,15,0,1,1,495040,144,4
838,787,1,0.5,0,15,0,11,0.6,93,1,16,2934,14,1,0,1,1146938,48,3
839,854,0,0.5,0,2,0,30,0.5,125,8,5,2889,11,0,0,1,596736,10,3
840,1184,0,1.5,1,1,1,48,0.6,191,1,6,3315,14,1,1,1,818463,119,4
841,1973,0,1.6,1,5,1,39,0.8,152,4,6,1993,5,1,0,0,935352,0,3
842,510,0,1.7,1,3,0,35,0.8,120,3,6,2509,11,0,1,1,469096,34,2
843,966,0,2,0,8,1,34,0.5,118,2,10,3534,11,1,1,1,325922,306,4
844,1438,1,1.8,0,3,0,16,0.6,169,8,7,2246,15,0,0,0,744753,154,3
845,1986,0,0.5,0,7,0,51,0.4,95,3,9,3165,13,1,0,0,264708,0,4
846,1907,0,2,0,13,0,55,0.9,105,7,15,286,17,1,0,1,1078769,56,1
847,1489,0,2.4,1,8,0,32,0.6,200,1,16,776,8,0,0,0,139664,42,1
848,1843,1,1.8,1,13,1,16,0.7,134,6,18,3213,15,1,1,0,68440,210,4
849,825,1,1.5,0,11,0,38,0.4,94,3,18,716,14,0,1,0,422820,44,1
850,1286,1,2.3,0,10,1,16,0.1,98,2,18,424,4,1,1,0,11916,50,1
851,840,0,0.6,0,0,1,63,0.8,137,7,19,3486,18,1,1,0,1066947,96,4
852,757,0,2.3,1,5,1,58,0.2,163,4,7,3237,9,1,0,1,372895,228,3
853,814,1,1.1,1,2,0,41,0.8,177,2,10,1944,12,1,0,0,1535352,96,2
854,1195,1,1.1,1,2,1,8,0.9,80,6,6,643,19,1,0,0,327327,28,1
855,767,0,0.8,0,7,1,10,0.5,107,4,12,2317,12,1,1,1,1031415,0,3
856,1068,0,1.3,0,6,1,52,0.1,97,8,7,1436,15,1,0,0,1491000,16,2
857,994,1,2.8,1,0,0,56,0.5,173,3,3,3190,20,1,1,1,260230,10,3
858,1550,1,2.5,0,6,0,21,0.8,133,2,11,2338,15,0,1,0,222976,16,3
859,1878,1,0.5,0,9,0,29,0.6,85,8,19,1334,2,0,0,0,215460,126,2
860,623,0,2,0,2,0,6,0.1,127,3,4,3657,19,1,1,0,96768,51,3
861,1829,1,0.5,0,0,1,15,0.4,160,5,7,2080,12,1,0,1,923643,176,3
862,525,0,2.4,1,11,0,35,0.8,190,7,20,1609,3,0,0,0,54940,176,1
863,1065,1,0.5,0,0,1,14,0.7,89,2,2,3078,18,1,0,1,174464,10,3
864,1425,0,1.2,0,9,1,35,0.7,127,8,14,590,6,1,1,1,284550,26,1
865,1296,0,1.4,1,3,0,11,0.2,129,7,4,2552,10,1,1,1,1688804,152,3
866,642,0,2.8,0,3,0,34,0.8,197,2,15,3355,13,0,0,0,334641,60,3
867,1664,1,2.9,1,9,1,15,0.5,177,7,19,1968,9,1,0,0,2272362,84,3
868,1498,1,0.7,0,3,1,8,0.1,170,7,4,3358,19,1,0,0,373372,21,4
869,981,1,1.9,1,0,0,2,0.1,136,3,7,1539,19,0,0,0,51600,228,1
870,1236,1,2.8,0,6,1,32,0.3,143,4,18,942,14,1,1,1,690276,192,1
871,1673,0,2.8,1,7,0,9,0.1,187,3,10,3669,10,1,0,1,47710,9,4
872,712,1,1.6,0,6,1,9,0.8,172,2,14,3612,4,1,0,0,1087154,65,4
873,569,1,0.5,1,10,1,4,0.8,170,3,19,2351,10,1,1,0,406809,56,2
874,603,1,0.7,1,0,1,64,0.2,156,6,0,604,8,1,1,1,3625056,40,1
875,1332,0,0.8,1,2,0,11,0.5,187,2,4,1285,9,1,1,0,883070,0,2
876,1413,0,0.6,0,0,1,13,0.1,128,1,0,515,18,1,1,0,1959363,0,1
877,1064,0,2.9,1,1,1,34,0.2,184,6,13,654,6,1,0,0,1843575,208,1
878,1444,0,0.6,0,2,0,48,0.5,82,5,17,2540,15,1,1,1,1696968,34,4
879,1366,1,1.7,1,5,1,53,0.2,161,5,9,3869,14,1,0,1,1213772,85,4
880,906,0,2.1,1,7,0,18,0.1,136,2,11,3412,16,1,0,0,1975886,104,4
881,1554,0,2.7,1,3,1,47,0.7,185,5,12,509,19,1,0,0,436073,36,1
882,1187,0,2.3,0,0,1,21,0.2,122,6,6,2547,5,1,1,0,241875,30,3
883,1156,1,2.7,1,1,1,30,0.9,173,3,16,2735,13,1,0,1,1807785,240,3
884,1918,0,2.8,0,1,0,22,0.3,139,1,5,1369,6,0,1,1,458343,54,2
885,841,1,0.5,1,8,0,39,0.1,199,6,13,2942,16,0,1,1,452088,55,3
886,730,1,1.3,1,6,0,6,0.9,167,7,10,2812,17,0,0,0,1265880,10,3
887,878,1,1.3,0,13,1,31,0.5,153,4,18,3497,11,1,1,0,355350,63,3
888,1059,0,0.5,1,0,0,50,0.7,182,8,1,619,18,0,1,1,801855,15,1
889,1578,0,2.9,0,8,0,3,0.9,200,1,20,3483,16,1,0,0,229140,68,4
890,1829,0,1.7,0,0,0,36,0.8,112,5,1,1475,7,0,0,0,163833,44,2
891,1132,0,1,0,0,0,8,0.1,157,1,4,1950,6,0,1,1,1410663,22,2
892,1652,0,0.6,1,4,1,40,1,198,7,6,3592,6,1,0,0,381568,42,4
893,912,0,0.5,1,0,0,58,0.3,107,5,1,3573,20,1,1,0,284295,51,4
894,1181,0,2.3,0,12,1,61,0.6,116,2,16,2020,18,1,1,0,319935,0,2
895,1497,1,0.7,0,5,0,32,0.7,92,3,9,1329,7,1,1,0,3711360,6,3
896,1790,1,2.3,1,3,1,49,0.5,100,3,11,3568,18,1,0,1,784080,12,4
897,1742,1,1.6,0,3,0,49,0.8,100,1,9,1947,6,1,0,1,1665846,20,3
898,1549,1,0.5,0,4,0,8,0.4,158,5,7,1998,15,1,1,0,1091594,84,3
899,1372,1,2.7,0,7,0,34,0.4,193,4,17,725,20,1,0,0,643719,33,1
900,1112,0,0.5,0,0,1,12,0.9,190,4,6,3302,20,1,1,1,869463,0,4
901,1005,0,0.5,0,0,0,46,0.4,133,8,17,3884,20,0,1,1,273856,0,4
902,783,1,1.7,1,9,1,27,0.3,150,6,11,1185,6,1,1,1,578454,60,1
903,1698,0,2.5,0,10,1,26,0.4,105,2,18,1656,17,1,0,1,882215,15,3
904,899,1,2.7,0,3,1,53,0.3,192,4,11,2870,10,1,0,1,1049958,304,3
905,1062,0,1.5,0,3,0,45,0.2,151,3,4,911,9,0,0,0,1145130,28,1
906,989,1,2,0,4,0,17,0.2,166,3,19,3892,19,1,1,0,356864,126,4
907,1983,1,1.2,1,6,1,27,0.6,125,1,11,3897,10,1,1,1,442890,120,4
908,1800,1,3,0,5,0,53,0.3,87,1,12,656,18,0,0,1,211628,140,1
909,1254,0,1.7,0,0,1,45,0.4,146,3,3,606,2,1,1,1,3072876,14,2
910,868,0,1.7,0,0,0,30,0.8,83,4,0,1653,17,1,0,0,283176,77,2
911,1205,0,0.5,1,3,0,12,0.6,175,4,6,860,14,1,0,1,351822,14,1
912,1284,1,2.8,1,0,0,10,0.9,155,2,14,2197,9,0,1,1,82560,32,2
913,626,0,0.7,1,2,1,23,0.5,187,2,9,3458,11,1,0,1,120060,35,3
914,1763,0,2.9,1,1,1,53,0.2,101,4,20,2066,17,1,1,1,111228,108,2
915,694,1,1.8,1,15,0,36,0.4,193,4,20,3676,5,1,0,1,1209090,96,4
916,1265,0,0.6,1,4,1,49,0.5,90,1,5,1518,8,1,0,1,188925,176,2
917,816,1,0.5,0,4,0,14,0.9,198,3,13,1018,15,1,0,0,83142,170,1
918,904,0,1.8,0,3,1,35,0.4,168,3,4,1360,11,1,0,0,21294,180,1
919,979,0,0.5,1,0,1,5,0.5,164,7,2,3449,14,1,0,0,1324310,10,4
920,1531,0,2,0,0,1,60,0.4,162,6,1,2524,7,1,0,0,478125,143,3
921,934,0,2,1,2,0,30,0.7,182,8,15,703,7,0,0,1,619990,80,1
922,1624,1,2.6,1,0,0,58,1,200,3,11,1251,18,0,1,1,2668320,52,2
923,874,0,1.3,0,5,0,8,0.5,185,1,20,582,15,0,0,0,551616,24,1
924,1027,1,2.2,0,0,0,63,0.8,102,5,4,1732,13,0,1,1,108528,40,2
925,1966,0,0.8,1,15,1,48,0.2,144,1,16,1252,19,1,1,1,2450466,24,3
926,1048,1,1.5,0,2,1,29,1,182,1,4,2146,2,1,0,0,48430,110,2
927,1496,1,1.9,1,13,0,38,0.1,126,4,14,1927,6,0,0,1,253506,68,2
928,959,1,1.7,0,15,0,13,0.4,155,4,16,3328,10,1,1,1,64032,90,3
929,1349,1,2.2,1,5,0,55,0.1,105,7,7,2462,17,1,0,1,660312,105,3
930,1689,1,2.4,1,0,1,13,0.9,168,2,9,1172,17,1,1,1,351154,132,1
931,1558,1,2.4,0,0,1,27,0.1,146,1,1,3598,12,1,0,1,169080,18,4
932,582,0,0.5,1,3,0,27,0.2,168,3,10,2437,2,1,1,1,1398700,38,3
933,1485,0,2.8,0,3,1,44,0.1,138,4,14,3271,8,1,1,0,263934,168,4
934,1991,1,1.8,0,11,0,9,0.7,94,3,12,1511,9,0,0,0,1034127,136,2
935,553,0,0.5,1,2,1,23,0.5,119,3,3,2981,14,1,0,0,1506381,21,3
936,1231,0,0.7,1,2,0,7,0.9,113,1,7,3119,15,1,1,0,71509,36,4
937,805,0,0.8,0,1,0,34,0.6,88,6,2,3647,9,1,0,1,1940956,198,4
938,764,1,1.2,1,1,0,13,1,152,8,2,3148,6,1,1,0,184471,126,3
939,894,0,0.9,0,5,1,54,0.2,130,3,15,2829,13,1,0,1,56264,55,3
940,1589,0,2.6,0,9,0,46,0.4,84,3,16,2373,20,1,1,0,580920,99,3
941,1456,0,1.6,1,9,1,39,0.1,80,8,10,3998,13,1,1,0,1357790,18,4
942,743,0,0.5,1,0,1,33,0.3,95,2,1,316,4,1,0,0,2632833,190,1
943,1061,1,2.1,0,3,1,52,0.1,109,7,4,999,9,1,1,0,183540,192,1
944,1428,1,1.6,0,0,0,7,0.1,153,4,2,1808,13,0,1,0,574072,96,2
945,674,1,2.8,1,0,1,8,0.2,93,3,0,589,4,1,1,0,579000,108,1
946,832,0,1.1,0,0,1,46,0.3,93,6,0,3317,19,1,1,0,1120120,0,4
947,1625,1,0.5,1,2,1,50,0.1,107,8,17,670,8,1,0,0,9752,48,1
948,907,0,1.4,1,3,0,42,0.2,151,1,16,584,6,1,0,0,86697,99,1
949,1631,0,0.5,0,2,1,13,0.5,166,2,16,2173,8,1,1,0,1665600,36,3
950,1584,1,1.3,0,6,0,41,0.6,135,4,15,1561,17,0,0,1,206560,50,2
951,1382,1,0.5,0,7,1,13,0.3,199,2,18,2073,9,1,0,1,440028,112,2
952,633,1,1.4,0,0,1,46,0.7,102,6,10,1401,11,1,1,0,1357735,266,2
953,1444,1,2.1,0,9,0,38,0.4,104,7,16,3764,10,0,0,0,572208,126,4
954,852,1,1.6,1,6,1,54,0.4,147,5,7,1275,12,1,0,1,392740,91,1
955,922,1,0.7,0,0,1,47,1,157,8,14,1464,12,1,0,1,2341360,68,2
956,1745,0,1.5,1,4,1,57,0.1,159,3,16,2885,5,1,1,1,2220912,143,4
957,862,0,2.3,0,9,1,6,0.1,107,8,14,3458,9,1,1,1,1638933,36,4
958,1754,1,2.1,1,1,1,52,1,101,4,3,3019,19,1,0,1,288948,66,4
959,1008,0,2.5,0,3,0,36,1,109,1,14,1083,6,0,0,0,1626900,24,2
960,1569,0,0.5,1,3,0,33,0.2,147,1,13,3538,15,1,0,1,482670,18,4
961,1596,0,2.9,1,7,0,7,0.7,149,2,9,2493,13,1,1,1,201110,168,3
962,1807,1,0.5,1,2,1,61,0.1,134,6,6,3726,15,1,0,0,3412512,40,4
963,1660,0,2.8,1,4,0,7,0.8,184,1,6,1531,7,0,0,0,88540,0,2
964,1861,1,0.9,0,4,1,55,0.5,148,7,8,601,4,1,0,0,3187146,35,2
965,648,0,1.9,1,4,0,8,1,91,5,19,2991,4,0,0,1,1635543,56,3
966,1379,0,0.5,1,1,0,19,0.3,134,8,17,3912,19,0,1,1,259677,22,4
967,1910,1,1.7,0,0,0,34,0.6,115,2,0,309,10,0,0,1,1264740,32,1
968,1807,0,2,1,0,1,13,0.5,155,8,0,323,3,1,1,1,944780,27,1
969,1923,0,0.5,1,7,0,46,0.5,191,1,10,1489,3,1,1,1,1349153,90,2
970,1345,1,3,0,7,1,38,0.1,162,3,11,1322,15,1,0,0,750080,18,2
971,904,0,1.6,1,5,1,14,0.2,102,8,9,1846,3,1,0,1,42560,0,2
972,1239,0,1.2,1,5,1,52,0.9,122,2,10,417,6,1,0,1,389990,0,1
973,1330,0,0.9,0,6,1,52,0.8,84,4,12,3269,8,1,1,0,602448,114,4
974,516,1,0.7,1,1,0,30,0.9,138,1,12,3731,15,0,0,0,87948,221,3
975,672,1,0.5,1,0,0,54,0.9,95,4,11,667,14,0,0,0,660654,136,1
976,892,1,0.5,0,0,1,47,0.4,94,1,18,1241,9,1,0,1,1167210,36,2
977,1778,0,0.5,0,0,1,23,0.5,101,6,11,3941,13,1,0,0,1485460,114,4
978,1130,1,2.5,0,4,1,58,0.1,132,5,14,1018,16,1,0,0,110968,17,1
979,1359,0,0.6,0,4,0,59,0.3,86,2,6,3142,17,0,1,1,3218184,57,4
980,1866,1,2.5,1,3,1,47,0.8,89,5,9,1444,20,1,0,0,637956,28,2
981,1597,0,2.3,0,11,0,34,0.4,89,1,14,934,9,0,1,0,106688,160,1
982,1046,1,2.8,1,0,1,58,0.2,100,8,0,3863,9,1,1,1,269360,204,4
983,1035,0,0.6,1,2,1,44,0.5,99,3,3,3506,12,1,1,0,462560,70,4
984,1175,1,1.3,0,2,0,19,0.3,164,7,9,1944,9,1,1,0,1216962,36,2
985,1261,1,0.5,1,0,1,11,0.2,90,4,0,348,14,1,0,1,1365078,126,1
986,1068,0,0.7,1,9,0,51,0.5,124,4,15,550,6,1,1,0,2683550,96,1
987,1713,0,3,1,5,1,20,0.9,104,7,17,971,10,1,0,0,210930,110,1
988,1688,0,2.5,0,0,1,21,0.2,170,7,0,3984,8,1,1,1,561600,238,4
989,1413,1,0.5,1,4,1,45,0.4,104,5,6,2973,15,1,0,1,3886306,136,4
990,559,1,0.5,0,10,0,11,0.4,82,5,14,2019,16,1,1,1,445243,40,2
991,1483,1,2.6,1,13,0,19,0.6,146,7,19,1587,19,0,0,0,560272,36,2
992,860,1,1.6,1,13,0,48,0.5,187,7,18,1870,18,1,0,0,490105,34,2
993,1090,0,1.3,1,5,0,27,0.1,91,4,16,1352,11,0,1,0,3128580,5,2
994,686,1,0.5,0,11,0,3,0.3,91,6,15,570,19,0,1,0,1543728,42,1
995,818,0,1.3,0,14,0,43,0.9,177,6,15,546,7,1,1,1,56610,72,1
996,1456,0,1.6,1,5,0,49,0.2,193,3,20,3624,16,1,1,0,1833695,132,4
997,774,0,0.5,1,2,1,10,0.5,188,2,9,2944,2,1,1,1,2561880,48,3
998,1068,0,0.5,1,0,1,19,0.9,197,8,9,1209,12,1,1,0,281750,228,1
999,1373,1,1.9,1,1,1,29,0.9,141,6,12,2752,7,1,1,1,1644560,30,4
1000,1777,1,3,0,3,0,20,0.6,188,6,5,3868,7,0,1,1,314776,5,4
1001,594,0,0.8,0,2,1,28,0.1,132,5,3,3087,4,1,1,1,1276893,64,3
1002,1524,0,2.6,1,5,0,57,0.5,124,2,12,947,16,0,1,1,399415,44,1
1003,511,1,0.6,1,12,0,50,0.1,175,3,16,1484,8,1,0,0,87080,63,1
1004,1402,1,0.6,1,3,0,46,0.3,87,7,12,347,12,1,0,1,1910127,0,1
1005,965,1,0.5,0,15,0,53,1,131,8,19,3227,8,1,0,0,193941,72,3
1006,1270,1,2.3,0,0,0,58,0.5,104,5,1,3299,16,0,0,1,2594592,52,4
1007,919,0,0.5,1,11,0,13,0.3,159,1,15,1028,17,1,0,0,156750,32,1
1008,1963,1,1,0,16,1,34,0.1,157,2,17,714,2,1,0,1,2059568,36,2
1009,1977,0,1.3,1,2,0,31,0.4,173,8,6,2641,7,0,0,0,1552620,16,4
1010,1881,0,2.2,0,4,0,51,0.3,158,5,7,1229,14,1,0,0,740781,0,2
1011,683,0,0.7,0,5,0,19,0.9,173,4,17,2622,5,0,0,1,1893690,48,3
1012,772,0,2.6,1,7,0,6,0.1,100,2,10,929,18,0,1,1,1090011,78,1
1013,536,1,1.4,0,0,1,53,0.7,135,3,0,1211,7,1,0,1,385635,150,1
1014,1694,0,1.8,0,0,0,53,1,186,6,0,1653,6,1,0,0,1442352,35,3
1015,1633,0,1.7,1,3,1,33,0.9,111,2,19,511,7,1,1,0,132276,0,1
1016,1371,0,0.5,0,4,0,52,0.5,167,4,19,3034,8,0,0,0,312273,78,3
1017,551,1,2.8,0,0,1,54,0.1,172,7,15,1414,19,1,0,1,323804,6,1
1018,1221,0,0.5,0,1,1,28,0.5,139,1,7,2438,10,1,1,1,3744520,143,4
1019,1000,1,0.5,0,12,0,63,0.7,179,8,18,3744,7,0,0,1,2706657,11,4
1020,1986,0,2.7,1,3,1,64,0.2,162,4,20,1377,15,1,1,1,358720,15,2
1021,1119,0,0.5,1,0,1,23,0.4,164,4,1,3520,7,1,0,0,751215,28,4
1022,1699,0,0.5,1,1,0,59,0.5,97,4,3,3796,12,0,1,1,823888,170,4
1023,1099,0,0.5,0,13,1,61,0.3,146,3,20,1699,3,1,1,1,430728,170,2
1024,1576,0,2.6,0,7,0,58,0.2,90,3,16,336,13,1,1,1,252400,112,1
1025,950,1,0.5,0,9,0,55,0.1,156,5,10,1095,13,0,1,0,652482,168,1
1026,1081,1,2.5,1,13,0,49,1,99,3,17,325,6,0,0,1,147396,9,1
1027,606,0,2.5,0,1,1,53,0.2,146,4,2,1223,7,1,0,0,535680,228,1
1028,502,0,1.5,1,7,0,37,0.2,199,2,12,1649,14,0,1,0,1276050,6,2
1029,957,1,0.7,0,0,1,4,0.1,160,2,0,1898,3,1,1,0,63916,48,2
1030,1658,1,1.4,1,0,1,38,0.3,159,5,0,2609,19,1,0,0,37689,132,3
1031,1681,1,2.5,1,6,0,18,0.3,167,1,7,2265,20,1,1,1,854250,15,3
1032,1983,1,0.5,1,3,0,43,1,87,6,10,2775,3,0,1,1,235924,36,3
1033,1753,0,1.2,0,8,1,12,0.9,113,7,17,1445,12,1,1,1,617265,272,2
1034,1632,1,1.4,0,0,0,41,0.1,132,4,1,2614,15,1,0,0,1145838,20,3
1035,1949,1,1.4,0,7,0,57,0.3,145,7,11,356,19,0,0,0,1120278,15,1
1036,1696,0,1.7,0,1,0,13,0.9,97,3,2,523,4,0,1,1,138188,0,1
